n, comp,tempo
0,13117,0.0000310
5,999,0.0000070
10,999,0.0000070
15,999,0.0000060
20,999,0.0000070
25,999,0.0000060
30,999,0.0000060
35,999,0.0000070
40,999,0.0000060
45,999,0.0000060
50,999,0.0000070
55,999,0.0000060
60,999,0.0000060
65,999,0.0000060
70,999,0.0000060
75,999,0.0000070
80,999,0.0000060
85,999,0.0000060
90,999,0.0000070
95,999,0.0000060
100,999,0.0000060
105,999,0.0000060
110,999,0.0000060
115,999,0.0000070
120,999,0.0000060
125,999,0.0000060
130,999,0.0000070
135,999,0.0000060
140,999,0.0000060
145,999,0.0000070
150,999,0.0000060
155,999,0.0000060
160,999,0.0000080
165,999,0.0000090
170,999,0.0000090
175,999,0.0000100
180,999,0.0000080
185,999,0.0000080
190,999,0.0000090
195,999,0.0000080
200,999,0.0000080
205,999,0.0000090
210,999,0.0000080
215,999,0.0000080
220,999,0.0000080
225,999,0.0000090
230,999,0.0000080
235,999,0.0000080
240,999,0.0000090
245,999,0.0000090
250,999,0.0000100
255,999,0.0000090
260,999,0.0000080
265,999,0.0000090
270,999,0.0000080
275,999,0.0000090
280,999,0.0000090
285,999,0.0000080
290,999,0.0000080
295,999,0.0000090
300,999,0.0000090
305,999,0.0000090
310,999,0.0000090
315,999,0.0000100
320,999,0.0000110
325,999,0.0000090
330,999,0.0000060
335,999,0.0000070
340,999,0.0000060
345,999,0.0000060
350,999,0.0000060
355,999,0.0000060
360,999,0.0000070
365,999,0.0000060
370,999,0.0000060
375,999,0.0000070
380,999,0.0000060
385,999,0.0000070
390,999,0.0000060
395,999,0.0000090
400,999,0.0000080
405,999,0.0000060
410,999,0.0000060
415,999,0.0000060
420,999,0.0000060
425,999,0.0000070
430,999,0.0000060
435,999,0.0000070
440,999,0.0000060
445,999,0.0000070
450,999,0.0000060
455,999,0.0000070
460,999,0.0000060
465,999,0.0000070
470,999,0.0000060
475,999,0.0000070
480,999,0.0000070
485,999,0.0000060
490,999,0.0000060
495,999,0.0000060
500,999,0.0000060
505,999,0.0000070
510,999,0.0000060
515,999,0.0000070
520,999,0.0000060
525,999,0.0000060
530,999,0.0000070
535,999,0.0000060
540,999,0.0000070
545,999,0.0000060
550,999,0.0000060
555,999,0.0000070
560,999,0.0000060
565,999,0.0000060
570,999,0.0000080
575,999,0.0000060
580,999,0.0000060
585,999,0.0000070
590,999,0.0000060
595,999,0.0000060
600,999,0.0000060
605,999,0.0000070
610,999,0.0000070
615,999,0.0000070
620,999,0.0000070
625,999,0.0000070
630,999,0.0000070
635,999,0.0000090
640,999,0.0000110
645,999,0.0000090
650,999,0.0000090
655,999,0.0000090
660,999,0.0000090
665,999,0.0000100
670,999,0.0000070
675,999,0.0000060
680,999,0.0000070
685,999,0.0000060
690,999,0.0000060
695,999,0.0000070
700,999,0.0000150
705,999,0.0000100
710,999,0.0000090
715,999,0.0000090
720,999,0.0000100
725,999,0.0000090
730,999,0.0000090
735,999,0.0000080
740,999,0.0000130
745,999,0.0000110
750,999,0.0000090
755,999,0.0000100
760,999,0.0000110
765,999,0.0000110
770,999,0.0000090
775,999,0.0000100
780,999,0.0000110
785,999,0.0000120
790,999,0.0000090
795,999,0.0000110
800,999,0.0000110
805,999,0.0000090
810,999,0.0000110
815,999,0.0000100
820,999,0.0000090
825,999,0.0000090
830,999,0.0000090
835,999,0.0000090
840,999,0.0000100
845,999,0.0000100
850,999,0.0000100
855,999,0.0000090
860,999,0.0000090
865,999,0.0000150
870,999,0.0000090
875,999,0.0000090
880,999,0.0000090
885,999,0.0000080
890,999,0.0000080
895,999,0.0000100
900,999,0.0000090
905,999,0.0000090
910,999,0.0000080
915,999,0.0000080
920,999,0.0000090
925,999,0.0000080
930,999,0.0000090
935,999,0.0000080
940,999,0.0000090
945,999,0.0000090
950,999,0.0000080
955,999,0.0000090
960,999,0.0000090
965,999,0.0000090
970,999,0.0000090
975,999,0.0000090
980,999,0.0000080
985,999,0.0000100
990,999,0.0000090
995,999,0.0000100
